0,0,88
17,0,86
34,0,81
50,0,72
58,-24,61
45,-45,61
52,-52,47
66,-48,31
70,-51,14
71,-51,-3
69,-50,-20
64,-47,-37
75,-25,-37
81,-26,-20
83,-27,-3
82,-27,14
78,-25,31
68,-28,47
63,0,61
74,0,47
82,0,31
86,0,14
87,0,-3
85,0,-20
79,0,-37
75,25,-37
81,26,-20
83,27,-3
82,27,14
78,25,31
68,28,47
58,24,61
5,17,86
24,24,81
45,45,61
52,52,47
66,48,31
70,51,14
71,51,-3
69,50,-20
64,47,-37
50,69,-20
51,71,-3
51,70,14
48,66,31
27,83,-3
27,82,14
25,78,31
28,68,47
24,58,61
25,43,72
0,34,81
0,50,72
0,63,61
0,74,47
0,82,31
0,86,14
0,87,-3
-27,83,-3
-27,82,14
-25,78,31
-28,68,47
-24,58,61
-25,43,72
-14,10,86
-24,24,81
-45,45,61
-52,52,47
-48,66,31
-51,70,14
-51,71,-3
-71,51,-3
-70,51,14
-66,48,31
-43,25,72
-58,24,61
-68,28,47
-78,25,31
-82,27,14
-83,27,-3
-87,0,-3
-86,0,14
-82,0,31
-74,0,47
-63,0,61
-50,0,72
-34,0,81
-43,-25,72
-58,-24,61
-68,-28,47
-78,-25,31
-82,-27,14
-83,-27,-3
-71,-51,-3
-70,-51,14
-66,-48,31
-14,-10,86
-24,-24,81
-45,-45,61
-52,-52,47
-48,-66,31
-51,-70,14
-51,-71,-3
-27,-83,-3
-27,-82,14
-25,-78,31
-28,-68,47
-24,-58,61
-25,-43,72
0,-34,81
5,-17,86
24,-24,81
25,-43,72
0,-50,72
0,-63,61
0,-74,47
0,-82,31
0,-86,14
0,-87,-3
27,-83,-3
27,-82,14
25,-78,31
28,-68,47
24,-58,61
48,-66,31
51,-70,14
51,-71,-3
50,-69,-20
